1	.011777271	0x650b	0x8be7
2	1.528677604	0x34fa	0xe121
3	3.042160391	0x7378	0xe6b4
4	4.556297783	0xecaa	0xcc74
5	6.070881004	0x5fb5	0x64b3
6	7.582140977	0x2799	0xd597
7	9.093355467	0xdaff	0x415c
8	10.607120568	0x6690	0xa57e
9	12.120523494	0xd038	0x6c11
10	13.630726729	0x9d49	0x79c3
11	15.142541295	0x3ddd	0xc660
12	16.655875581	0xa813	0x725c
13	18.169910869	0x7281	0x04db
14	19.683987036	0x530f	0xd8ba
15	21.195912024	0x7be2	0x8c72
16	22.707390364	0x98c7	0x0ae2
17	24.220842523	0x41b7	0xa661
18	25.733268560	0x79e6	0x6461
19	27.249093063	0x9996	0xe94d
20	28.762775625	0x9244	0xa0a3
21	30.275187164	0x7d18	0x3827
22	31.791773346	0x9410	0xf999
23	33.305606676	0xeb3f	0x2dcb
24	34.820024570	0x4a7f	0x0011
25	36.336376861	0x1c7a	0xf79a
26	37.849760229	0xd78e	0x804c
27	39.361817196	0x4554	0xa265
28	40.876666638	0xfd62	0xb5d0
29	42.394946408	0xe393	0x83a2
30	43.906479176	0x57d0	0x64d9
31	45.417697032	0xced0	0x7e21
32	46.932934990	0x50d2	0x3b54
33	48.450759756	0x0858	0x4c89
34	49.975267886	0x1460	0xd2f5
35	51.492366655	0x7455	0x8e74
36	53.007812696	0xa8cd	0x110e
37	54.520105202	0x076f	0xf312
38	56.031149140	0x8e7a	0x6cfe
39	57.545050506	0xb378	0x33b1
40	59.062448071	0x21c9	0x84fb
